_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. 1. Sind Sie Mitglied einer Partei, eines Verbandes oder einer Bewegung?;2. 2. Wie aktiv sind Sie in der Regel in Ihrer Partei/Bewegung?;3. 3. Haben Sie im Jahr 2017 bei der Bundestagswahl in Deutschland gewählt?;4. 4. Haben Sie bei der Europawahl 2019 gewählt?;5. 5. Wie zufrieden sind mit dem politischen System der Bundesrepublik Deutschland?;6. 6. Sehen Sie im politischen System Deutschlands mehr Vorteile gegenüber anderen Regierungsformen?;7. 7. Welche Partei haben Sie bei der letzten Bundestagswahl 2017 in Deutschland gewählt?;8. 8. Wählen Sie diese Partei regelmäßig?;9. 9. Würden Sie diese Partei bei den nächsten Parlamentswahlen wählen?;10. Aus welchen Gründen wählen/wählten Sie diese politische Partei?;persönliches Interesse;Ideologie;diese Partei sehe ich als gute Option zum Erhalt/ Verbesserung des Gemeinwohls;kleineres Übel (im Vergleich zu anderen Parteien);Keiner der oben genannten Gründe;Keine Angabe;11. 10. Nehmen Sie an politischen Veranstaltungen teil?;12. 11. Sind Sie der Meinung, dass die von Ihnen gewählte Partei Ihre Interessen gewissenhaft vertritt?;13. 12. Wie aktiv verfolgen Sie die Tagespolitik?;14. 13. Informieren Sie sich zusätzlich vor Wahlen? Falls Ja, wie umfassend?;15. 14. Wie informieren Sie sich über politische Themen?;Zeitungen/Zeitschriften;Medien (Facebook, Twitter, etc.);Fernsehen;Internet;Radio;Treffen mit politischen Akteuren;Textfeld;16. 15. Fühlen Sie sich von der Politik wahrgenommen?;17. 1. Wie sehr sind Sie davon überzeugt, dass die Parteien Ihre Pflichten erfüllen und die Interessen ihrer Wähler vertreten?;18. 2. Wie sehr sind Sie davon überzeugt, dass die Bundeskanzlerin ihre Pflichten gewissenhaft erfüllt?;19. 3. Wie sehr sind Sie davon überzeugt, dass der Bundespräsident seine Pflichten gewissenhaft erfüllt?;20. 4. Wie sehr sind Sie davon überzeugt, dass der Bundestag seine Pflichten gewissenhaft erfüllt?;21. 5. Wie sehr sind Sie davon überzeugt, dass die Judikative (Gerichte) Ihre Pflichten neutral, objektiv und unabhängig von der Politik ausführt?;22. 6. Denken Sie, dass Sie vor Gericht eine faire Behandlung, im Vergleich zu elitären Personen aus Wirtschaft und Politik, erhalten würden;23. 7. Wie sicher fühlen Sie sich in Ihrer Heimatstadt?;24. 8. Wie sehr vertrauen Sie Ihren Freunden?;25. 9. Wie sehr vertrauen Sie Ihrer Familie?;26. 10. Denken Sie die meisten Politiker halten sich an Gesetze und moralische Normen?;27. 11. Wie sehr vertrauen Sie der Rechtschaffenheit von Politikern?;28. 12. Denken Sie, dass Politiker eher 'den Mächtigen' als der eigenen Wählerschaft dienen?;29. 13. Wie sehr vertauen Sie Ihren Mitbürgern?;30. 14. Empfinden Sie Ihre Gesellschaft als offen für andere Meinungen?;31. Welche Staatsangehörigkeiten besitzen Sie?;32. Wie hoch ist Ihr durschnittliches monatliches Nettoeinkommen?;33. Wie gut fühlen Sie sich finanziell abgesichert?;34. Wie alt sind Sie?;35. Welches Geschlecht besitzen Sie?
83482091;1eccf28;10.5.2021 14:24;10.5.2021 14:31;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ich war noch nicht wahlberechtigt;Nein;6;Teilweise;Ich habe bei der letzten Parlamentswahl nicht gewählt;keine Angabe;Keine Angabe;;1;;1;;;;Nein;Teilweise;Bis zu drei Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;;1;;1;;;;Nein;4;1 - sehr wenig;5;1 - sehr wenig;5;Nein;8;9;10 - sehr stark;Nein;3;Ja;7;Nein;Deutsch;über 2501 bis 3500€;Finanziell könnte ich besser abgesichert sein;18 bis 20;Männlich
83483315;da376ae;10.5.2021 14:53;10.5.2021 14:59;teilgenommen und beendet;Ja;weniger als 5 Stunden in der Woche;Ja;Ja;8;Ja;FDP;Ja;Ja;;;;1;;;;Ja;Ja;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;1;1;1;1;1;;Ja;7;8;9;9;8;Ja;9;8;9;Ja;6;Nein;4;Nein;Deutschland;über 3501€;Finanziell könnte ich besser abgesichert sein;51 oder älter;Männlich
83485017;23d5962;10.5.2021 15:32;10.5.2021 15:43;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;5;Ja;Bündnis 90/ Die Grünen;Ja;Ja;;1;;1;;;;Ja;Ja;Bis zu drei Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;1;1;1;1;;;;Nein;5;4;5;4;8;Ja;9;10 - sehr stark;9;Ja;7;Ja;6;Ja;Deutsch, Amerikanisch;zwischen 801 bis 1500€;Finanziell fühle ich mich ausreichend abgesichert;18 bis 20;Weiblich
83486649;37a3780;10.5.2021 16:09;10.5.2021 16:14;teilgenommen und beendet;Ja;weniger als 5 Stunden in der Woche;Ja;Ja;7;Ja;Bündnis 90/ Die Grünen;Ja;Ja;;1;;1;;;;Nein;Ja;Bis zu drei Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;;1;;1;;;;Nein;8;8;keine Angabe;7;9;Keine Angabe;9;10 - sehr stark;9;Ja;7;Ja;8;Ja;Deutsch;Unter 450€;Ich fühle mich finanziell nicht abgesichert;21 bis 30;Weiblich
83492218;9c24e7d;10.5.2021 18:35;10.5.2021 18:38;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ja;Ja;5;Ja;FDP;Nein;Nein;;;;;1;;;Nein;Nein;Bis zu drei Stunden in der Woche;Ich informiere mich bereits ein Jahr im Voraus;;1;1;1;1;;;;Nein;4;10- Sehr stark;10 - sehr stark;6;10 - sehr stark;Ja;9;10 - sehr stark;10 - sehr stark;Ja;6;Ja;5;Ja;Deutsch;zwischen 1501 bis 2500€;Finanziell fühle ich mich ausreichend abgesichert;21 bis 30;Männlich
83495655;87a466c;10.5.2021 20:26;10.5.2021 20:28;teilgenommen, aber noch nicht beendet;Nein;Ich bin kein Mitglied einer Partei;Ich war noch nicht wahlberechtigt;Ich war noch nicht wahlberechtigt;8;Teilweise;Ich habe bei der letzten Parlamentswahl nicht gewählt;keine Angabe;Keine Angabe;;;;1;;;;Ja;Teilweise;Bis zu drei Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;;1;1;1;;;;Ja;;;;;;;;;;;;;;;;;;;
83496444;cb9fcdc;10.5.2021 20:51;10.5.2021 20:57;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ja;Ja;9;Ja;Bündnis 90/ Die Grünen;Ja;Ja;;;;1;;;;Ja;Teilweise;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;;1;;1;;;keine Angabe;6;7;7;7;9;Ja;10 - sehr sicher;10 - sehr stark;10 - sehr stark;Ja;7;Nein;8;Ja;deutsch;über 2501 bis 3500€;Finanziell fühle ich mich ausreichend abgesichert;51 oder älter;Weiblich
83497266;ac3d7d7;10.5.2021 21:21;10.5.2021 21:22;teilgenommen, aber noch nicht beendet;Keine Angabe;Ich bin kein Mitglied einer Partei;Ja;Ja;7;Ja;Bündnis 90/ Die Grünen;keine Angabe;Keine Angabe;;;;;1;;;Nein;Nein;Bis zu drei Stunden in der Woche;Ich informiere mich einen Monat vor den Wahlen;;;;;1;;;;Ja;;;;;;;;;;;;;;;;;;;
83499070;a007b73;10.5.2021 22:26;10.5.2021 22:29;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ja;Ja;2;Teilweise;FDP;Ja;Ja;;;;1;1;;;Nein;Teilweise;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;1;;1;;;;Nein;3;5;2;4;6;Nein;10 - sehr sicher;8;9;Nein;1 - sehr wenig;Ja;6;Ja;Deutsch;zwischen 801 bis 1500€;Ich fühle mich finanziell nicht abgesichert;21 bis 30;Männlich
83499637;d625057;10.5.2021 22:56;10.5.2021 23:00;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ja;Ja;8;Ja;SPD;Ja;Nein;;;;1;;;;Ja;Teilweise;Mehr als acht Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;;;1;1;;;Nein;7;10- Sehr stark;10 - sehr stark;7;10 - sehr stark;Ja;8;10 - sehr stark;10 - sehr stark;Ja;6;Nein;3;Ja;D, NIC;über 2501 bis 3500€;Finanziell fühle ich mich ausreichend abgesichert;31 bis 40;Männlich
83499826;68066ae;10.5.2021 23:07;10.5.2021 23:14;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ja;Ja;9;Ja;Die Partei;Ja;Ja;;;1;1;;;;Nein;Ja;Bis zu drei Stunden in der Woche;Ich informiere mich kurz vor den Wahlen über die jeweiligen Kandidaten und Parteien;;;1;;1;1;;;Ja;4;8;9;4;8;Ja;9;10 - sehr stark;10 - sehr stark;keine Angabe;3;Ja;6;keine Angabe;Deutsch;über 3501€;Finanziell fühle ich mich ausreichend abgesichert;31 bis 40;Männlich
83510000;c545fb8;11.5.2021 10:47;11.5.2021 10:53;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ich war noch nicht wahlberechtigt;Ja;7;Ja;Ich habe bei der letzten Parlamentswahl nicht gewählt;keine Angabe;Keine Angabe;;;;;;;1;Nein;Weiß nicht;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;1;1;1;;;;Nein;4;7;9;4;7;Ja;10 - sehr sicher;keine Angabe;8;Nein;3;Ja;8;Ja;Deutsch;zwischen 451€ bis 800€;keine Angabe;18 bis 20;Männlich
83571727;edcbb02;12.5.2021 16:25;12.5.2021 16:31;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ich war noch nicht wahlberechtigt;Nein;7;Ja;Ich habe bei der letzten Parlamentswahl nicht gewählt;keine Angabe;Keine Angabe;;;;;;;1;Ja;Weiß nicht;Bis zu fünf Stunden in der Woche;Ich informiere mich nicht vor den Wahlen;;;1;;1;;;;Nein;4;9;9;8;keine Angabe;Nein;9;5;8;Nein;6;Nein;5;Nein;Deutsch;zwischen 451€ bis 800€;Finanziell könnte ich besser abgesichert sein;21 bis 30;Männlich
83656813;33ef062;15.5.2021 20:32;15.5.2021 20:35;teilgenommen und beendet;Ja;mehr als 5 Stunden in der Woche;Ja;Ja;3;Teilweise;Die Linke;Ja;Ja;;1;1;1;;;;Ja;Teilweise;Mehr als acht Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;;;;1;;1;;Nein;2;4;1 - sehr wenig;3;1 - sehr wenig;Nein;6;7;5;Nein;1 - sehr wenig;Ja;4;Ja;Deutschland;zwischen 451€ bis 800€;Finanziell könnte ich besser abgesichert sein;21 bis 30;Männlich
83682036;f42c54a;17.5.2021 8:44;17.5.2021 8:48;teilgenommen und beendet;Nein;Ich bin kein Mitglied einer Partei;Ja;Ja;5;Teilweise;Die Linke;Ja;Ja;;;;1;1;;;Ja;Teilweise;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;;1;1;;;;Nein;3;4;5;3;6;Nein;7;9;9;Nein;3;Ja;4;keine Angabe;Deutsch;über 2501 bis 3500€;Finanziell fühle ich mich ausreichend abgesichert;21 bis 30;Männlich
84038306;e0b31c3;26.5.2021 20:06;26.5.2021 20:09;teilgenommen und beendet;Ja;weniger als 5 Stunden in der Woche;Ja;Ja;8;Ja;Bündnis 90/ Die Grünen;Ja;Ja;;1;;1;;;;Ja;Teilweise;Bis zu fünf Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;;1;;1;;1;;Ja;7;9;8;6;9;Ja;9;8;9;Ja;7;Ja;5;Ja;Deutsch;zwischen 801 bis 1500€;Finanziell könnte ich besser abgesichert sein;31 bis 40;Männlich
84103280;16a1d3b;28.5.2021 15:55;28.5.2021 16:01;teilgenommen und beendet;Ja;weniger als 5 Stunden in der Woche;Ja;Ja;4;Nein;SPD;Nein;Nein;;1;1;;;;;Ja;Nein;Bis zu drei Stunden in der Woche;Ich informiere mich während der gesamten Legislaturperiode;;1;1;;1;;;;Nein;3;4;6;2;3;Nein;6;8;9;Nein;4;Ja;6;Nein;Deutsch;zwischen 451€ bis 800€;Finanziell könnte ich besser abgesichert sein;21 bis 30;Männlich
